,,ロット情報,,,,,,①盛り後,②2~3h後点検,,,,,③制御2→3,,,,,,,④手入れ前,,,,,,,,⑤制御3→4,,,,,,⑥制御4,,,⑦朝から除湿,,,,,
製麴機,月日,産地,新古,品種,精米歩合,枚数,重量,①品温,②時刻,②時刻(h),②品温,②保温1,②保温2,③換気,③排気,③除湿機入り,③除湿機戻り,③保温1,③保温2,③風量,④時刻,④時刻(h),④品温,④換気,④排気,④除湿機入り,④除湿機戻り,④風量,"⑤変更有無
変更無=1
変更有=2",⑤換気,⑤排気,⑤除湿機入り,⑤除湿機戻り,⑤風量,⑥変更有無,⑥換気,⑥排気,⑦換気,⑦排気,⑦除湿機入り,⑦除湿機戻り,⑦風量,
A,2021/10/13,広島県,新米,八反錦,70,6,140,32.08,12:33:00,12.55 ,36.08,,,1.5,2.4,全閉,全閉,38.0,38.5,6.4,15:57:00,15.95 ,41.44,1.2,2.1,3.1,全開,6.4,2,1.0,1.9,3.1,全開,6.4,2,1.1,2.0,,,,,,
B,2021/10/14,兵庫県,新米,山田錦,50,6,132,33.32,10:52:00,10.87 ,35.58,,,1.4,2.3,全閉,全閉,38.0,38.5,6.2,15:31:00,15.52 ,41.36,1.0,1.9,3.1,全開,6.3,2,1.1,2.0,3.1,全開,6.3,2,1.3,2.15,,,,,,
A,2021/10/16,広島県,新米,八反錦,60,6,140,31.78,11:26:00,11.43 ,34.16,,,1.4,2.2,全閉,全閉,38.0,38.5,6.4,15:45:00,15.75 ,41.12,1.1,2.0,3.1,全開,6.4,2,1.2,2.1,3.1,全開,6.4,2,1.1,2.0,,,,,,
B,2021/10/17,広島県,新米,八反錦,70,6,133,32.24,11:00:00,11.00 ,34.10,,,1.4,2.2,,,,,,15:47:00,15.78 ,41.38,1.1,2.1,3.1,全開,6.4,2,1.2,2.2,3.1,全開,6.4,2,1.1,2.0,,,,,,
A,2021/10/18,広島県,新米,八反錦,60,4,90,30.76,,,,,,1.3,2.2,全閉,全閉,38.0,38.5,5.3,15:58:00,15.97 ,40.86,1.3,2.2,全閉,全閉,5.3,1,1.3,2.2,全閉,全閉,5.3,1,1.3,2.2,0.3,0.8,3.1,0.5,5.5,
B,2021/10/19,広島県,新米,八反錦,60,6,140,31.44,,,,,,1.4,2.2,全閉,全閉,38.5,39.0,6.3,16:20:00,16.33 ,40.68,1.0,1.9,3.1,全開,6.3,2,1.0,1.7,3.1,全開,6.3,2,0.8,1.5,,,,,,
A,2021/10/20,広島県,新米,八反錦,60,4,90,30.88,,,,,,1.3,2.2,全閉,全閉,39.0,39.5,5.3,16:17:00,16.28 ,40.14,1.3,2.2,全閉,全閉,5.3,1,1.3,2.2,全閉,全閉,5.3,2,1.1,2.0,0.2,0.65,3.1,0.5,5.5,
B,2021/10/21,広島県,新米,八反錦,60,6,140,31.88,,,,,,1.4,2.3,全閉,全閉,39.0,39.5,6.4,15:54:00,15.90 ,41.06,0.9,1.8,3.1,全開,6.4,1,0.9,1.8,3.1,全開,6.4,1,0.9,1.8,,,,,,
A,2021/10/22,岡山県,新米,雄町,40,6,130,32.78,13:03:00,13.05 ,37.18,,,1.4,2.2,全閉,全閉,39.0,39.5,6.3,15:45:00,15.75 ,41.42,0.9,1.8,3.1,全開,6.3,1,0.9,1.8,3.1,全開,6.3,1,0.9,1.8,,,,,,
B,2021/10/23,岡山県,新米,雄町,40,6,153,32.68,11:19:00,11.32 ,34.90,,,1.5,2.4,全閉,全閉,38.5,39.0,6.4,15:56:00,15.93 ,41.52,1.1,2.0,3.1,全開,6.4,2,1.2,2.1,3.1,全開,6.4,2,1.0,1.9,,,,,,
A,2021/10/24,兵庫県,新米,山田錦,50,6,140,31.88,11:26:00,11.43 ,34.00,,,1.4,2.3,全閉,全閉,38.5,39.0,6.3,15:54:00,15.90 ,41.18,0.9,1.8,3.1,全開,6.3,1,0.9,1.8,3.1,全開,6.3,2,1.1,2.0,,,,,,
A,2021/10/26,兵庫県,新米,山田錦,50,6,140,30.92,,,,,,1.4,2.3,全閉,全閉,39.0,39.5,6.3,16:11:00,16.18 ,40.46,1.0,1.9,3.1,全開,6.3,1,1,1.9,3.1,全開,6.3,2,0.7,1.65,,,,,,
B,2021/10/27,兵庫県,新米,山田錦,50,4,90,30.88,11:37:00,11.62 ,33.08,,,1.3,2.2,全閉,全閉,39.0,39.5,5.3,,,40.70,1.1,2.0,全閉,全閉,5.3,2,1.3,2.2,全閉,全閉,5.3,2,1.4,2.35,0.25,0.75,3.15,0.75,,
A,2021/10/28,兵庫県,新米,山田錦,50,6,140,31.86,,,,,,1.4,2.3,,,,,,16:05:00,16.08 ,41.18,0.9,1.8,3.1,全開,6.3,1,0.9,1.8,3.1,全開,6.3,2,1.0,1.9,,,,,,
B,2021/10/29,兵庫県,新米,山田錦,50,6,140,32.62,,,,,,1.4,2.3,全閉,全閉,39.0,39.5,6.3,15:48:00,15.80 ,41.60,0.9,1.8,3.1,全開,6.3,1,0.9,1.8,3.1,全開,6.3,2,1.0,1.9,,,,,,
A,2021/10/30,兵庫県,新米,山田錦,50,6,140,32.00,,,,,,1.4,2.3,全閉,全閉,39.0,39.5,6.3,15:13:00,15.22 ,40.32,0.9,1.8,3.1,全開,6.3,1,0.9,1.8,3.1,全開,6.3,1,0.9,1.8,,,,,,
B,2021/10/31,兵庫県,新米,山田錦,50,6,145,32.06,,,,,,1.4,2.3,全閉,全閉,39.0,39.5,6.3,16:03:00,16.05 ,41.54,0.9,1.8,3.1,全開,6.3,1,0.9,1.8,3.1,全開,6.3,1,0.9,1.8,,,,,,
A,2021/11/1,岡山県,新米,雄町,50,3,60,31.54,,,,,,1.3,2.1,全閉,全閉,39.0,39.5,4.5,15:44:00,15.73 ,,1.3,2.1,全閉,全閉,4.5,1,1.3,2.1,全閉,全閉,4.5,1,1.3,2.1,0.2,0.6,3.1,1.0,4.8,
B,2021/11/2,兵庫県,新米,山田錦,50,6,120,31.88,,,,,,1.3,2.1,全閉,全閉,39.0,39.5,6.0,16:08:00,16.13 ,42.04,0.8,1.7,3.1,全開,6.0,1,0.8,1.7,3.1,全開,6.0,1,0.8,1.7,,,,,,
A,2021/11/3,岡山県,新米,雄町,50,6,125,32.08,,,,,,1.3,2.1,全閉,全閉,39.0,39.5,6.0,15:56:00,15.93 ,41.18,0.8,1.7,3.1,全開,6.0,1,0.8,1.7,3.1,全開,6.0,1,0.8,1.7,,,,,,
B,2021/11/4,岡山県,新米,雄町,50,4,90,31.62,,,,,,1.3,2.1,全閉,全閉,39.0,39.5,5.3,15:58:00,15.97 ,41.60,1.3,2.2,全閉,全閉,5.3,1,1.3,2.2,全閉,全閉,5.3,1,1.3,2.2,0.35,0.75,3.1,0.5,5.5,
A,2021/11/5,岡山県,新米,雄町,50,6,105,31.62,,,,,,1.2,2.1,,,,,,15:36:00,15.60 ,40.92,0.6,1.5,3.1,全開,5.8,1,0.6,1.5,3.1,全開,5.8,1,0.6,1.5,,,,,,
B,2021/11/6,広島県,新米,八反錦,60,3,70,31.52,,,,,,,,,,,,,15:57:00,15.95 ,41.38,1.3,2.1,全閉,全閉,4.8,1,1.3,2.1,全閉,全閉,4.8,1,1.3,2.1,,,,,,
A,2021/11/7,岡山県,新米,雄町,50,6,105,30.88,12:26:00,12.43 ,34.18,,,,,,,,,,16:07:00,16.12 ,41.22,0.6,1.5,3.1,全開,5.8,1,0.6,1.5,3.1,全開,5.8,1,0.6,1.5,,,,,,
B,2021/11/8,岡山県,新米,雄町,50,3,70,31.30,,,,,,1.3,2.1,,,,,,16:05:00,16.08 ,40.76,1.3,2.1,全閉,全閉,4.8,1,1.3,2.1,全閉,全閉,4.8,1,1.3,2.1,0.2,0.65,3.1,0.5,5.0,
A,2021/11/9,兵庫県,新米,山田錦,50,6,105,31.36,,,,,,1.2,2.1,全閉,全閉,39.0,39.5,5.8,15:47:00,15.78 ,40.38,0.6,1.5,3.1,全開,5.8,1,0.6,1.5,3.1,全開,5.8,2,0.7,1.6,,,,,,
B,2021/11/10,岡山県,新米,雄町,50,6,145,31.78,11:24:00,11.40 ,33.40,,,,,,,,,,16:03:00,16.05 ,41.04,0.8,1.7,3.1,全開,6.4,1,0.8,1.7,3.1,全開,6.4,2,0.9,1.8,,,,,,
A,2021/11/11,岡山県,新米,山田錦,60,6,150,32.78,,,,,,1.6,2.4,全閉,全閉,39.0,39.5,6.4,15:25:00,15.42 ,,1.0,1.9,3.1,全開,6.4,2,1.1,2.0,3.1,全開,6.4,1,1.1,2.0,,,,,,
B,2021/11/12,兵庫県,新米,山田錦,50,6,103,31.36,,,,,,1.2,2.1,全閉,全閉,39.0,39.5,5.8,15:50:00,15.83 ,40.86,0.6,1.5,3.1,全開,5.8,2,0.5,1.1,3.1,全開,5.8,2,0.7,1.3,,,,,,
B,2021/11/14,岡山県,新米,山田錦,60,4,100,31.74,,,,,,1.5,2.4,全閉,全閉,39.0,39.5,5.5,15:35:00,15.58 ,41.74,1.4,2.3,全閉,全閉,5.5,2,1.5,2.3,全閉,全閉,5.5,1,1.5,2.3,0.35,0.85,3.1,全開,5.7,
A,2021/11/15,岡山県,新米,雄町,50,6,140,31.44,,,,,,1.4,2.3,全閉,全閉,39.0,39.5,6.4,15:59:00,15.98 ,41.00,0.9,1.8,3.1,全開,6.4,1,0.9,1.8,3.1,全開,6.4,2,0.8,1.7,,,,,,
B,2021/11/16,岡山県,新米,雄町,50,6,140,31.36,11:10:00,11.17 ,33.14,,,1.4,2.3,,,,,,16:14:00,16.23 ,41.42,0.8,1.7,3.1,全開,6.4,2,0.7,1.6,3.1,全開,6.4,1,0.7,1.6,,,,,,
A,2021/11/17,岡山県,新米,雄町,50,4,110,31.16,,,,,,1.3,2.1,全閉,全閉,39.0,39.5,6.0,16:05:00,16.08 ,41.10,0.5,1.3,3.1,全開,6.0,1,0.5,1.3,3.1,全開,6.0,1,0.5,1.3,,,,,,
B,2021/11/18,岡山県,新米,雄町,50,3,110,31.10,10:45:00,10.75 ,31.96,,,1.3,2.1,全閉,全閉,39.0,39.5,6.0,16:16:00,16.27 ,40.52,0.5,1.3,3.1,全開,6.0,1,0.5,1.3,3.1,全開,6.0,1,0.5,1.3,,,,,,
A,2021/11/19,広島県,新米,八反錦,60,6,140,32.44,11:19:00,11.32 ,34.38,,,1.5,2.4,全閉,全閉,39.0,39.5,6.4,15:53:00,15.88 ,41.10,0.9,1.8,3.1,全開,6.4,1,0.9,1.8,3.1,全開,6.4,1,0.9,1.8,,,,,,
B,2021/11/20,兵庫県,新米,山田錦,35,2,40,30.52,10:54:00,10.90 ,33.34,,,1.0,1.8,全閉,全閉,39.0,39.5,4.0,16:09:00,16.15 ,41.02,0.8,1.7,全閉,全閉,3.8,2,0.9,1.8,全閉,全閉,3.8,1,0.9,1.8,,,,,,
A,2021/11/21,広島県,新米,八反錦,60,6,140,31.90,11:17:00,11.28 ,34.00,,,1.4,2.3,全閉,全閉,39.0,39.5,6.4,16:05:00,16.08 ,40.86,0.9,1.8,3.1,全開,6.4,1,0.9,1.8,3.1,全開,6.4,1,0.9,1.8,,,,,,
B,2021/11/22,岡山県,新米,雄町,40,1,15,32.32,11:07:00,11.12 ,34.04,,,1.3,2.2,全閉,全閉,39.0,39.5,6.3,15:47:00,15.78 ,41.08,0.8,1.7,3.1,全開,6.3,1,0.8,1.7,3.1,全開,6.3,2,0.9,1.8,,,,,,
B,2021/11/22,広島県,新米,八反錦,60,5,120,32.32,11:07:00,11.12 ,34.04,,,1.3,2.2,全閉,全閉,39.0,39.5,6.3,15:47:00,15.78 ,41.08,0.8,1.7,3.1,全開,6.3,1,0.8,1.7,3.1,全開,6.3,2,0.9,1.8,,,,,,
A,2021/11/23,兵庫県,新米,山田錦,50,6,105,32.34,11:51:00,11.85 ,34.84,,,1.3,2.1,全閉,全閉,39.0,39.5,5.8,15:53:00,15.88 ,41.24,0.5,1.3,3.1,全開,5.6,1,0.5,1.3,3.1,全開,5.6,1,0.5,1.3,,,,,,
B,2021/11/24,広島県,新米,八反錦,60,6,120,32.28,11:19:00,11.32 ,34.48,,,1.4,2.3,全閉,全閉,39.0,39.5,,15:38:00,15.63 ,41.28,0.8,1.7,3.1,全開,6.2,1,0.8,1.7,3.1,全開,6.2,1,0.8,1.7,,,,,,
A,2021/11/25,広島県,新米,八反錦,60,6,130,32.62,11:17:00,11.28 ,34.90,,,,,,,,,,15:33:00,15.55 ,40.94,0.8,1.7,3.1,全開,6.2,1,0.8,1.7,3.1,全開,6.2,1,0.8,1.7,,,,,,
B,2021/11/26,岡山県,新米,雄町GAP,60,1,15,32.52,11:28:00,11.47 ,34.72,,,,,,,,,,15:49:00,15.82 ,41.54,0.5,1.3,3.1,全開,5.6,1,0.5,1.3,3.1,全開,5.6,1,0.5,1.3,,,,,,
B,2021/11/26,広島県,新米,山田錦,50,5,90,32.52,11:28:00,11.47 ,34.72,,,,,,,,,,15:49:00,15.82 ,41.54,0.5,1.3,3.1,全開,5.6,1,0.5,1.3,3.1,全開,5.6,1,0.5,1.3,,,,,,
A,2021/11/27,広島県,新米,八反錦,60,6,130,31.94,11:08:00,11.13 ,34.36,,,1.4,2.3,,,,,,15:33:00,15.55 ,41.08,0.8,1.7,3.1,全開,6.2,1,0.8,1.7,3.1,全開,6.2,1,0.8,1.7,,,,,,
B,2021/11/28,広島県,新米,八反錦,60,6,140,32.32,,,,,,,,,,,,,15:32:00,15.53 ,41.22,0.9,1.8,3.1,全開,6.2,1,0.9,1.8,3.1,全開,6.2,1,0.9,1.8,,,,,,
B,2021/11/30,広島県,新米,八反錦,60,6,140,32.28,11:16:00,11.27 ,34.96,,,1.5,2.3,全閉,全閉,39.0,39.5,6.2,15:28:00,15.47 ,41.00,0.9,1.8,3.1,全開,6.2,1,0.9,1.8,3.1,全開,6.2,1,0.9,1.8,,,,,,
A,2021/12/1,兵庫県,新米,山田錦,40,4,95,30.60,11:08:00,11.13 ,33.94,,,1.4,2.3,全閉,全閉,39.0,39.5,5.5,15:27:00,15.45 ,40.56,1.4,2.2,全閉,全閉,5.5,1,1.4,2.2,全閉,全閉,5.5,1,1.4,2.2,0.35,0.85,2.5,全開,,
A,2021/12/3,兵庫県,新米,山田錦,40,4,95,30.54,11:20:00,11.33 ,34.20,,,1.4,2.3,全閉,全閉,39.0,39.5,5.5,15:37:00,15.62 ,40.88,1.4,2.2,全閉,全閉,5.5,1,1.4,2.2,全閉,全閉,5.5,2,1.45,2.25,0.35,0.75,2.5,全開,,
B,2021/12/4,岡山県,新米,山田錦,7,4,88,30.96,10:50:00,10.83 ,33.26,,,,,,,,,,15:37:00,15.62 ,41.48,1.4,2.2,全閉,全閉,5.5,2,1.3,2.1,全閉,全閉,5.5,2,1.4,2.2,0.3,0.8,2.5,全開,,
A,2021/12/5,岡山県,新米,雄町,40,4,80,30.76,10:51:00,10.85 ,32.08,,,1.3,2.1,全閉,全閉,39.0,39.5,5.5,16:27:00,16.45 ,40.98,1.3,2.1,全閉,全閉,5.5,1,1.3,2.1,全閉,全閉,5.5,2,1.25,1.95,0.25,0.65,2.5,全開,,
B,2021/12/6,兵庫県,新米,山田錦,40,4,80,30.22,11:12:00,11.20 ,33.02,,,1.3,2.1,全閉,全閉,39.0,39.5,5.5,15:49:00,15.82 ,41.02,1.3,2.0,全閉,全閉,5.5,1,1.3,2.0,全閉,全閉,5.5,1,1.3,2.0,0.25,0.65,2.5,1.0,5.7,
A,2021/12/7,兵庫県,新米,山田錦,50,6,155,31.66,11:05:00,11.08 ,33.98,,,1.5,2.4,全閉,全閉,39.0,39.5,6.4,15:45:00,15.75 ,41.32,1.0,1.9,2.5,全開,6.4,1,1.0,1.9,2.5,全開,6.4,1,1.0,1.9,,,,,,
B,2021/12/8,岡山県,新米,雄町,40,2,40,30.38,10:54:00,10.90 ,34.20,,,0.8,1.7,全閉,全閉,39.0,39.5,3.8,16:11:00,16.18 ,41.18,0.7,1.6,全閉,全閉,3.8,2,0.6,1.4,全閉,全閉,3.8,1,0.6,1.4,,,,,,
A,2021/12/9,岡山県,新米,雄町GAP,60,6,120,32.08,10:29:00,10.48 ,33.66,,,1.4,2.3,全閉,全閉,39.0,39.5,6.0,15:43:00,15.72 ,41.20,0.7,1.6,2.5,全開,6.0,2,0.6,1.45,2.5,全開,6.0,2,0.8,1.65,,,,,,
B,2021/12/10,兵庫県,新米,山田錦,50,4,90,31.56,11:16:00,11.27 ,34.04,,,1.4,2.3,全閉,全閉,39.0,39.5,5.7,15:39:00,15.65 ,41.10,1.4,2.2,全閉,全閉,5.7,1,1.4,2.2,全閉,全閉,5.7,2,1.5,2.4,0.3,0.8,2.5,全開,,
A,2021/12/13,兵庫県,新米,山田錦,50,6,115,31.46,11:20:00,11.33 ,34.02,,,1.3,2.2,全閉,全閉,39.0,39.5,6.0,15:54:00,15.90 ,41.14,0.7,1.5,2.5,全開,6.0,1,0.7,1.5,2.5,全開,6.0,2,0.6,1.4,,,,,,
B,2021/12/14,兵庫県,新米,山田錦,50,4,90,31.48,10:58:00,10.97 ,33.08,,,,,,,,,,,0.00 ,40.78,1.4,2.3,全閉,全閉,5.7,1,1.4,2.3,全閉,全閉,5.7,2,1.9,2.2,0.3,0.75,2.5,全開,,
B,2021/12/16,兵庫県,新米,山田錦,50,6,110,32.14,11:08:00,11.13 ,33.90,,,1.2,2.1,全閉,全閉,39.0,39.5,6.0,15:56:00,15.93 ,41.20,0.5,1.4,2.5,全開,6.0,1,0.5,1.4,2.5,全開,6.0,2,0.35,1.2,,,,,,
A,2021/12/17,岡山県,新米,山田錦,7,1,25,31.52,10:49:00,10.82 ,33.14,,,1.4,2.3,全閉,全閉,39.0,39.5,5.7,16:03:00,16.05 ,40.82,1.3,2.1,全閉,全閉,5.7,2,1.4,2.2,全閉,全閉,5.7,2,1.6,2.35,0.25,0.65,2.5,全開,,
A,2021/12/17,広島県,新米,八反錦,60,3,60,31.52,10:49:00,10.82 ,33.14,,,1.4,2.3,全閉,全閉,39.0,39.5,5.7,16:03:00,16.05 ,40.82,1.3,2.1,全閉,全閉,5.7,2,1.4,2.2,全閉,全閉,5.7,2,1.6,2.35,0.25,0.65,2.5,全開,,
B,2021/12/18,岡山県,新米,山田錦,7,2,35,30.94,10:54:00,10.90 ,32.26,,,1.3,2.2,全閉,全閉,39.0,39.5,6.0,16:33:00,16.55 ,40.86,0.4,1.2,2.5,全開,6.0,1,0.4,1.2,2.5,全開,6.0,2,0.4,1.05,,,,,,
B,2021/12/18,広島県,新米,八反錦,60,4,80,31.94,10:54:00,10.90 ,33.26,,,1.3,2.2,全閉,全閉,39.0,39.5,6.0,16:33:00,16.55 ,40.86,0.4,1.2,2.5,全開,6.0,1,0.4,1.2,2.5,全開,6.0,2,0.4,1.05,,,,,,
A,2021/12/19,広島県,新米,八反錦,60,6,140,,10:45:00,10.75 ,33.34,,,1.4,2.3,全閉,全閉,39.0,39.5,6.4,16:17:00,16.28 ,41.24,0.8,1.7,2.5,全開,6.3,1,0.8,1.7,2.5,全開,6.3,2,0.6,1.5,,,,,,
B,2021/12/20,広島県,新米,八反錦,,6,140,31.68,11:02:00,11.03 ,33.72,,,1.4,2.2,全閉,全閉,39.0,39.5,6.3,15:45:00,15.75 ,40.92,0.7,1.5,2.5,全開,6.3,1,0.7,1.5,2.5,全開,6.3,2,0.6,1.9,,,,,,
A,2021/12/21,広島県,新米,八反錦呉産,60,6,140,31.42,10:34:00,10.57 ,32.82,,,1.4,2.3,全閉,全閉,39.0,39.5,6.3,15:59:00,15.98 ,40.98,0.6,1.4,2.5,全開,6.3,1,0.6,1.4,2.5,全開,6.3,2,0.5,1.25,,,,,,
B,2021/12/22,広島県,新米,八反錦,60,6,120,31.72,10:53:00,10.88 ,33.74,,,1.2,2.1,全閉,全閉,39.0,39.5,6.0,15:36:00,15.60 ,41.09,0.4,1.2,2.5,全開,6.0,1,0.4,1.2,2.5,全開,6.0,2,0.3,1.1,,,,,,
A,2021/12/23,兵庫県,新米,山田錦,50,6,140,32.20,11:05:00,11.08 ,34.24,,,1.4,2.3,全閉,全閉,39.0,39.5,6.2,15:28:00,15.47 ,40.86,0.7,1.5,2.5,全開,6.2,2,0.6,1.4,2.5,全開,6.2,1,0.6,1.4,,,,,,
B,2021/12/24,広島県,新米,八反錦呉産,35,2,30,31.84,10:57:00,10.95 ,33.28,38.0,38.5,1.2,2.1,全閉,全閉,39.0,39.5,6.0,15:48:00,15.80 ,40.78,0.5,1.2,2.5,全開,6.0,1,0.5,1.2,2.5,全開,6.0,2,0.4,1.1,,,,,,
B,2021/12/24,広島県,新米,八反錦呉産,60,4,90,31.84,10:57:00,10.95 ,33.28,38.0,38.5,1.2,2.1,全閉,全閉,39.0,39.5,6.0,15:48:00,15.80 ,40.78,0.5,1.2,2.5,全開,6.0,1,0.5,1.2,2.5,全開,6.0,2,0.4,1.1,,,,,,
B,2021/12/26,兵庫県,新米,山田錦,50,6,120,31.52,10:40:00,10.67 ,33.22,38.0,38.5,1.2,2.1,全閉,全閉,39.0,39.5,6.0,15:21:00,15.35 ,40.56,0.4,1.2,2.5,全開,6.0,1,0.4,1.2,2.5,全開,6.0,1,0.4,1.2,,,,,,
A,2021/12/27,兵庫県,新米,山田錦,35,3,57,30.84,10:18:00,10.30 ,33.62,,,1.3,2.2,全閉,全閉,39.0,39.5,4.2,15:12:00,15.20 ,41.48,1.3,2.1,全閉,全閉,4.2,2,1.1,1.8,全閉,全閉,4.2,2,1.5,1.8,,,,,,
B,2021/12/28,岡山県,新米,雄町,50,6,105,31.98,10:50:00,10.83 ,33.96,38.0,38.5,1.2,2.0,全閉,全閉,39.0,39.5,5.8,15:45:00,15.75 ,41.46,0.3,1.0,2.5,全開,5.8,1,0.3,1.0,2.5,全開,5.8,2,0.45,1.15,,,,,,
A,2021/12/29,岡山県,新米,雄町,50,6,105,31.84,11:01:00,11.02 ,34.04,,,1.2,2.0,全閉,全閉,39.0,39.5,5.8,15:39:00,15.65 ,41.36,0.4,1.1,2.5,全開,5.8,1,0.4,1.1,2.5,全開,5.8,1,0.4,1.1,,,,,,
B,2022/1/5,岡山県,新米,雄町,50,6,140,,11:28:00,11.47 ,33.58,38.5,39.0,1.4,2.2,全閉,全閉,39.0,39.5,6.2,15:37:00,15.62 ,41.06,0.6,1.4,2.5,全開,6.2,2,0.7,1.5,2.5,全開,6.2,2,0.55,1.35,,,,,,
A,2022/1/6,兵庫県,新米,山田錦,35,4,80,30.96,10:43:00,10.72 ,32.82,,,1.4,2.3,全閉,全閉,38.5,39.0,5.3,15:39:00,15.65 ,41.60,1.3,2.1,全閉,全閉,5.3,1,1.3,2.1,全閉,全閉,5.3,2,1.6,2.4,,,,,,
B,2022/1/9,兵庫県,新米,山田錦,35,3,70,30.84,10:52:00,10.87 ,33.62,38.0,38.5,1.4,2.2,全閉,全閉,39.0,39.5,5.4,15:34:00,15.57 ,41.84,1.4,2.2,全閉,全閉,5.4,1,1.4,2.2,全閉,全閉,5.4,1,1.4,2.2,0.25,0.75,2.5,全開,5.6,
A,2022/1/10,兵庫県,新米,山田錦,35,3,75,30.74,10:43:00,10.72 ,33.50,,,1.4,2.2,全閉,全閉,39.0,39.5,5.4,15:30:00,15.50 ,41.80,1.5,2.3,全閉,全閉,5.4,1,1.5,2.3,全閉,全閉,5.4,1,1.5,2.3,0.25,0.75,2.5,全開,5.6,
B,2022/1/11,広島県,新米,八反錦呉産,60,3,50,31.68,10:50:00,10.83 ,34.44,,,1.2,2.1,全閉,全閉,39.0,39.5,3.8,15:33:00,15.55 ,41.92,1.1,1.9,全閉,全閉,3.8,1,1.1,1.9,全閉,全閉,3.8,1,1.1,1.9,,,,,,
A,2022/1/12,兵庫県,新米,山田錦,35,4,80,30.58,10:21:00,10.35 ,32.30,,,1.4,2.2,全閉,全閉,39.0,39.5,5.5,15:24:00,15.40 ,41.22,1.5,2.3,全閉,全閉,5.5,2,1.4,2.2,全閉,全閉,5.5,1,1.4,2.2,0.25,0.75,2.5,全開,5.7,
