,,ロット情報,,,,,,①盛り後,②2~3h後点検,,,,,③制御2→3,,,,,,,④手入れ前,,,,,,,,⑤制御3→4,,,,,,⑥制御4,,,⑦朝から除湿,,,,,
B,2022/1/13,兵庫県,新米,山田錦,35,4,95,30.86,10:48:00,10.80 ,33.24,,,1.4,2.2,全閉,全閉,39.0,39.5,5.6,15:30:00,15.50 ,41.84,1.4,2.2,全閉,全閉,5.6,2,1.5,2.3,全閉,全閉,5.6,1,1.5,2.3,0.3,0.8,2.5,全開,5.8,
A,2022/1/14,兵庫県,新米,山田錦,35,4,90,30.84,11:08:00,11.13 ,33.30,38.0,38.5,1.4,2.2,,,,,5.5,15:39:00,15.65 ,41.52,1.4,2.2,全閉,全閉,5.5,1,1.4,2.2,全閉,全閉,5.5,1,1.4,2.2,0.25,0.7,2.5,全開,5.7,
B,2022/1/15,兵庫県,新米,山田錦,50,4,100,32.18,11:02:00,11.03 ,34.48,37.0,37.5,,,,,,,,15:26:00,15.43 ,41.36,0.3,0.9,2.5,全開,5.8,1,0.3,0.9,2.5,全開,5.8,2,0.3,0.8,,,,,,
A,2022/1/16,兵庫県,新米,山田錦,35,4,90,31.32,10:50:00,10.83 ,33.32,,,1.4,2.2,全閉,全閉,39.0,39.5,5.5,15:27:00,15.45 ,41.44,1.4,2.2,全閉,全閉,5.5,1,1.4,2.2,全閉,全閉,5.5,2,1.5,2.3,0.25,0.7,2.5,全開,5.7,
B,2022/1/17,兵庫県,新米,山田錦,35,4,80,30.94,11:16:00,11.27 ,34.34,38.0,38.5,,,,,,,,15:23:00,15.38 ,41.29,1.4,2.2,全閉,全閉,5.4,1,1.4,2.2,全閉,全閉,5.4,1,1.4,2.2,0.25,0.75,2.5,全開,5.6,
A,2022/1/18,兵庫県,新米,山田錦,35,4,80,,10:57:00,10.95 ,32.98,38.0,38.5,,,,,,,,15:24:00,15.40 ,40.20,1.4,2.2,全閉,全閉,5.4,2,1.3,2.1,全閉,全閉,5.4,1,1.3,2.1,0.2,0.7,2.5,全開,5.6,
A,2022/1/20,兵庫県,新米,愛山,50,6,120,31.22,11:24:00,11.40 ,33.92,,,1.3,2.1,全閉,全閉,39.0,39.5,6.0,15:51:00,15.85 ,40.74,0.5,1.3,2.5,全開,6.0,1,0.5,1.3,2.5,全開,6.0,2,0.5,1.2,,,,,,
A,2022/1/22,兵庫県,新米,愛山,50,6,125,31.14,10:57:00,10.95 ,32.74,,,1.3,2.1,全閉,全閉,39.0,39.5,6.0,16:00:00,16.00 ,40.72,0.5,1.3,2.5,全開,6.0,1,0.5,1.3,2.5,全開,6.0,2,0.4,1.1,,,,,,
B,2022/1/23,兵庫県,新米,白鶴錦,48,3,55,31.22,10:44:00,10.73 ,33.34,,,1.2,2.1,,,39.0,39.5,4.0,15:28:00,15.47 ,40.84,1.3,2.1,全閉,全閉,4.0,1,1.3,2.1,全閉,全閉,4.0,1,1.3,2.1,,,,,,
A,2022/1/24,広島県,新米,八反錦呉産,60,6,130,32.14,11:27:00,11.45 ,35.12,,,1.3,2.2,,,39.0,39.5,,15:30:00,15.50 ,41.40,0.4,1.2,2.5,全開,6.2,1,0.4,1.2,2.5,全開,6.2,2,0.35,1.05,,,,,,
B,2022/1/25,兵庫県,新米,愛山,50,4,90,30.92,11:22:00,11.37 ,33.44,,,1.4,2.2,,,39.0,39.5,,15:55:00,15.92 ,40.90,1.4,2.2,2.5,全開,5.5,1,1.4,2.2,2.5,全開,5.5,2,1.1,2.0,0.25,0.7,2.5,全開,5.8,
A,2022/1/26,広島県,新米,八反錦呉産,60,6,130,32.00,11:29:00,11.48 ,34.50,,,1.3,2.2,全閉,全閉,39.0,39.5,6.2,15:37:00,15.62 ,40.94,0.3,1.1,2.5,全開,6.2,1,0.3,1.1,2.5,全開,6.2,1,0.3,1.1,,,,,,
B,2022/1/27,広島県,新米,八反錦呉産,60,4,90,31.54,11:16:00,11.27 ,34.22,,,1.4,2.2,全閉,全閉,39.0,39.5,5.5,15:35:00,15.58 ,41.20,1.3,2.2,全閉,全閉,5.5,1,1.3,2.2,全閉,全閉,5.5,2,1.15,2.0,,,,,,
A,2022/1/28,兵庫県,新米,山田錦,60,6,125,33.62,10:36:00,10.60 ,35.70,,,1.4,2.3,,,,,6.2,15:24:00,15.40 ,42.24,0.6,1.4,2.5,全開,6.2,2,0.7,1.5,2.5,全開,6.2,2,0.9,1.85,,,,,,
B,2022/1/29,岡山県,新米,雄町,40,2,32,31.66,11:12:00,11.20 ,33.58,,,,,,,,,,15:45:00,15.75 ,40.74,0.4,1.2,2.5,全開,6.2,1,0.4,1.2,2.5,全開,6.2,2,0.3,0.75,,,,,,
B,2022/1/29,岡山県,新米,雄町,40,4,90,31.66,11:12:00,11.20 ,33.58,,,,,,,,,,15:45:00,15.75 ,40.74,0.4,1.2,2.5,全開,6.2,1,0.4,1.2,2.5,全開,6.2,2,0.3,0.75,,,,,,
A,2022/1/30,兵庫県,新米,山田錦,50,6,130,31.66,11:15:00,11.25 ,34.12,,,1.4,2.2,全閉,全閉,39.0,39.5,6.2,15:42:00,15.70 ,41.32,0.5,1.3,2.5,全開,6.2,1,0.5,1.3,2.5,全開,6.2,1,0.5,1.3,,,,,,
B,2022/1/31,兵庫県,新米,山田錦,60,4,100,33.34,11:33:00,11.55 ,36.44,,,1.5,2.4,全閉,全閉,39.0,39.5,5.7,15:14:00,15.23 ,41.30,0.4,0.9,2.5,全開,5.7,1,0.4,0.9,2.5,全開,5.7,1,0.4,0.9,,,,,,
A,2022/2/1,兵庫県,新米,山田錦,50,6,130,31.78,10:43:00,10.72 ,33.16,,,1.4,2.2,全閉,全閉,39.0,39.5,6.2,15:36:00,15.60 ,41.42,0.5,1.3,2.5,全開,6.2,1,0.5,1.3,2.5,全開,6.2,1,0.5,1.3,,,,,,
B,2022/2/2,岡山県,新米,雄町GAP,60,1,15,31.92,,,,,,1.4,2.2,全閉,全閉,39.0,39.5,6.2,15:43:00,15.72 ,40.76,0.4,1.2,2.5,全開,6.2,2,0.5,1.3,2.5,全開,6.2,1,0.5,1.3,,,,,,
B,2022/2/2,兵庫県,新米,山田錦,50,5,110,31.92,,,,,,1.4,2.2,全閉,全閉,39.0,39.5,6.2,15:43:00,15.72 ,40.76,0.4,1.2,2.5,全開,6.2,2,0.5,1.3,2.5,全開,6.2,1,0.5,1.3,,,,,,
A,2022/2/3,兵庫県,新米,山田錦,50,6,130,32.04,13:08:00,13.13 ,37.46,,,1.4,2.2,,,39.0,39.5,6.2,15:26:00,15.43 ,41.08,0.5,1.3,2.5,全開,6.2,1,0.5,1.3,2.5,全開,6.2,1,0.5,1.3,,,,,,
B,2022/2/4,兵庫県,新米,山田錦,50,6,140,32.98,10:38:00,10.63 ,34.92,,,,,,,,,,15:44:00,15.73 ,41.62,0.5,1.3,2.5,全開,6.2,2,0.5,1.2,2.5,全開,6.2,1,0.5,1.2,,,,,,
A,2022/2/5,兵庫県,新米,白鶴錦,48,6,120,31.06,10:37:00,10.62 ,33.12,,,1.3,2.1,全閉,全閉,39.0,39.5,6.0,15:45:00,15.75 ,40.94,0.4,1.1,2.5,全開,6.0,2,0.5,1.2,2.5,全開,6.0,2,0.4,1.1,,,,,,
B,2022/2/6,兵庫県,新米,山田錦,50,6,110,31.94,10:55:00,10.92 ,33.82,,,1.2,2.0,全閉,全閉,39.0,39.5,6.0,15:37:00,15.62 ,40.78,0.3,1.0,2.5,全開,5.8,2,0.3,0.9,2.5,全開,5.8,1,0.3,0.9,,,,,,
A,2022/2/7,兵庫県,新米,白鶴錦,48,6,120,32.00,,,,,,1.3,2.1,全閉,全閉,39.0,39.5,6.0,15:40:00,15.67 ,40.54,0.4,1.2,2.5,全開,6.0,2,0.5,1.3,2.5,全開,6.0,1,0.5,1.3,,,,,,
B,2022/2/8,岡山県,新米,雄町,50,3,65,31.32,,,,,,1.2,2.1,,,39.0,39.5,4.5,15:53:00,15.88 ,40.66,1.2,2.0,全閉,全閉,4.5,2,1.3,2.1,全閉,全閉,4.5,1,1.3,2.1,,,,,,
A,2022/2/9,兵庫県,新米,白鶴錦,48,6,120,,11:37:00,11.62 ,34.30,,,1.3,2.1,全閉,全閉,39.0,39.5,6.0,15:47:00,15.78 ,40.72,0.5,1.3,2.5,全開,6.0,2,0.6,1.4,2.5,全開,6.0,2,0.45,1.3,,,,,,
B,2022/2/10,兵庫県,新米,白鶴錦,48,6,120,32.46,10:41:00,10.68 ,34.32,,,1.3,2.1,全閉,全閉,39.0,39.5,6.0,15:22:00,15.37 ,41.20,0.5,1.3,2.5,全開,6.0,1,0.5,1.3,2.5,全開,6.0,1,0.5,1.3,,,,,,
A,2022/2/11,岡山県,新米,雄町,40,6,135,31.94,10:48:00,10.80 ,33.18,,,1.4,2.2,全閉,全閉,39.0,39.5,6.2,15:55:00,15.92 ,40.88,0.5,1.3,2.5,全開,6.2,1,0.5,1.3,2.5,全開,6.2,1,0.5,1.3,,,,,,
B,2022/2/12,兵庫県,新米,白鶴錦,48,3,65,31.94,11:10:00,11.17 ,34.42,,,1.2,2.1,全閉,全閉,39.0,39.5,4.5,15:29:00,15.48 ,41.18,1.3,2.1,全閉,全閉,4.5,1,1.3,2.1,全閉,全閉,4.5,1,1.3,2.1,,,,,,
A,2022/2/13,兵庫県,新米,山田錦,50,6,120,32.34,11:38:00,11.63 ,35.40,,,1.4,2.2,全閉,全閉,39.0,39.5,6.0,15:23:00,15.38 ,41.32,0.5,1.3,2.5,全開,6.0,1,0.5,1.3,2.5,全開,6.0,1,0.5,1.3,,,,,,
B,2022/2/14,岡山県,新米,雄町,40,6,120,32.72,11:12:00,11.20 ,34.82,,,1.4,2.1,全閉,全閉,39.0,39.5,6.0,15:25:00,15.42 ,41.14,0.5,1.3,2.5,全開,6.0,1,0.5,1.3,2.5,全開,6.0,1,0.5,1.3,,,,,,
A,2022/2/15,岡山県,新米,雄町GAP,60,6,120,32.50,11:15:00,11.25 ,35.02,,,1.4,2.2,全閉,全閉,39.0,39.5,6.0,15:22:00,15.37 ,41.26,0.5,1.3,2.5,全開,6.0,1,0.5,1.3,2.5,全開,6.0,2,0.6,1.5,,,,,,
A,2022/2/17,兵庫県,新米,山田錦,50,6,115,31.62,10:57:00,10.95 ,34.52,,,1.3,2.1,全閉,全閉,39.0,39.5,6.0,15:17:00,15.28 ,40.94,0.5,1.3,2.5,全開,6.0,1,0.5,1.3,2.5,全開,6.0,1,0.5,1.3,,,,,,
B,2022/2/20,兵庫県,新米,山田錦,50,4,100,32.44,11:05:00,11.08 ,35.44,,,1.4,2.2,全閉,全閉,39.0,39.5,5.5,14:52:00,14.87 ,41.92,0.4,0.9,2.5,全開,5.6,2,0.3,0.8,2.7,全開,5.6,1,0.3,0.8,,,,,,
A,2022/2/21,岡山県,新米,雄町,50,6,145,31.96,10:47:00,10.78 ,33.36,,,1.4,2.2,全閉,全閉,39.0,39.5,6.2,15:46:00,15.77 ,41.18,0.6,1.4,2.5,全開,6.2,1,0.6,1.4,2.5,全開,6.2,1,0.6,1.4,,,,,,
B,2022/2/22,兵庫県,新米,山田錦,50,6,145,32.98,,,,,,1.5,2.3,全閉,全閉,39.0,39.5,6.2,15:19:00,15.32 ,41.96,0.6,1.4,2.5,全開,6.2,1,0.6,1.4,2.5,全開,6.2,2,0.75,1.75,,,,,,
B,2022/2/24,岡山県,新米,雄町,50,6,135,31.96,11:03:00,11.05 ,33.96,,,1.3,2.1,全閉,全閉,39.0,39.5,6.0,15:32:00,15.53 ,41.20,0.5,1.3,2.5,全開,6.0,1,0.5,1.3,2.5,全開,6.0,1,0.5,1.3,,,,,,
A,2022/2/25,岡山県,新米,雄町,50,6,130,32.38,11:00:00,11.00 ,34.38,,,1.3,2.1,全閉,全閉,39.0,39.5,6.0,15:34:00,15.57 ,41.46,0.5,1.3,2.5,全開,6.0,1,0.5,1.3,2.5,全開,6.0,1,0.5,1.3,,,,,,
B,2022/2/26,岡山県,新米,雄町,50,6,117,32.48,11:19:00,11.32 ,34.76,,,1.2,2.0,全閉,全閉,39.0,39.5,5.8,15:20:00,15.33 ,41.48,0.4,1.1,2.5,全開,5.8,1,0.4,1.1,2.5,全開,5.8,1,0.4,1.1,,,,,,
B,2022/2/28,岡山県,新米,雄町,50,4,90,31.64,11:26:00,11.43 ,34.32,,,1.4,2.2,全閉,全閉,39.0,39.5,5.5,15:33:00,15.55 ,41.50,1.4,2.2,全閉,全閉,5.5,1,1.4,2.2,全閉,全閉,5.5,1,1.4,2.2,0.3,0.8,2.7,全開,5.7,
A,2022/3/1,兵庫県,新米,山田錦,50,6,140,33.52,11:02:00,11.03 ,35.90,,,1.5,2.3,全閉,全閉,39.0,39.5,6.2,15:30:00,15.50 ,42.70,0.7,1.6,2.5,全閉,6.2,1,0.7,1.6,2.5,全閉,6.2,2,0.9,1.8,,,,,,
B,2022/3/2,兵庫県,新米,山田錦,50,6,147,32.68,11:03:00,11.05 ,35.46,,,1.5,2.3,全閉,全閉,39.0,39.5,6.2,15:24:00,15.40 ,41.08,0.8,1.7,2.5,全開,6.3,2,0.8,1.8,2.5,全開,6.3,2,1.0,2.0,,,,,,
A,2022/3/3,兵庫県,新米,山田錦,50,6,140,31.96,10:57:00,10.95 ,34.24,,,1.5,2.4,全閉,全閉,39.0,39.5,6.2,15:20:00,15.33 ,41.30,0.9,1.8,2.5,全開,6.2,1,0.9,1.8,2.5,全開,6.2,1,0.9,1.8,,,,,,
B,2022/3/4,兵庫県,新米,山田錦,50,4,90,31.46,11:15:00,11.25 ,34.62,38.0,38.5,1.5,2.3,,,,,,15:24:00,15.40 ,41.60,1.5,2.4,全閉,全閉,5.7,2,1.5,2.3,全閉,全閉,5.7,1,1.5,2.3,0.3,0.8,2.7,全開,,
A,2022/3/5,兵庫県,新米,山田錦,50,6,140,31.74,10:44:00,10.73 ,33.62,,,1.4,2.3,全閉,全閉,39.0,39.5,6.2,15:35:00,15.58 ,41.42,0.8,1.7,2.5,全開,6.2,2,0.9,1.8,2.5,全開,6.2,2,1.0,1.9,,,,,,
B,2022/3/6,兵庫県,新米,山田錦,50,6,135,32.80,10:54:00,10.90 ,35.12,,,1.5,2.4,,,39.0,39.5,6.2,15:23:00,15.38 ,41.72,0.8,1.7,2.5,全開,6.2,1,0.8,1.7,2.5,全開,6.2,1,0.8,1.7,,,,,,
A,2022/3/7,兵庫県,新米,山田錦,50,6,140,32.44,11:07:00,11.12 ,34.56,,,1.5,2.4,全閉,全閉,39.0,39.5,6.2,15:25:00,15.42 ,40.84,0.9,1.8,2.5,全開,6.2,1,0.9,1.8,2.5,全開,6.2,1,0.9,1.8,,,,,,
B,2022/3/8,兵庫県,新米,山田錦,50,6,137,31.88,10:55:00,10.92 ,33.92,,,1.5,2.4,,,,,,15:34:00,15.57 ,40.86,0.9,1.8,2.5,全開,6.2,1,0.9,1.8,2.5,全開,6.2,1,0.9,1.8,,,,,,
A,2022/3/9,兵庫県,新米,山田錦,50,6,130,32.46,11:32:00,11.53 ,35.54,,,1.4,2.3,全閉,全閉,39.0,39.5,6.0,15:22:00,15.37 ,41.36,0.8,1.7,2.5,全開,6.0,1,0.8,1.7,2.5,全開,6.0,1,0.8,1.7,,,,,,
B,2022/3/10,兵庫県,新米,山田錦,50,6,110,32.22,11:22:00,11.37 ,34.94,,,1.3,2.1,全閉,全閉,39.0,39.5,5.8,15:24:00,15.40 ,41.00,0.7,1.6,2.5,全開,5.8,1,0.7,1.6,2.5,全開,5.8,1,0.7,1.6,,,,,,
A,2022/3/11,岡山県,新米,雄町,40,6,140,32.00,10:57:00,10.95 ,33.94,,,1.5,2.4,全閉,全閉,39.0,39.5,6.2,15:35:00,15.58 ,41.26,0.7,1.6,2.5,全開,6.2,2,0.8,1.7,2.5,全開,6.2,1,0.8,1.7,,,,,,
A,2022/3/13,兵庫県,新米,山田錦,40,6,120,31.88,10:34:00,10.57 ,33.54,,,1.4,2.3,全閉,全閉,39.0,39.5,6.0,15:24:00,15.40 ,40.62,0.7,1.6,2.5,全開,6.0,1,0.7,1.6,2.5,全開,6.0,1,0.7,1.6,,,,,,
B,2022/3/14,岡山県,新米,雄町,40,4,90,31.06,11:06:00,11.10 ,33.16,,,,,,,,,,15:48:00,15.80 ,41.10,1.4,2.3,全閉,全閉,5.6,1,1.4,2.3,全閉,全閉,5.6,1,1.4,2.3,0.25,0.75,2.7,全開,5.75,
A,2022/3/15,兵庫県,新米,山田錦,50,6,135,31.86,10:12:00,10.20 ,33.02,,,1.5,2.4,全閉,全閉,39.0,39.5,6.2,15:15:00,15.25 ,41.04,0.8,1.7,2.5,全開,6.2,2,0.9,1.8,2.5,全開,6.2,2,1.0,2.0,,,,,,
A,2022/3/17,兵庫県,新米,山田錦,50,6,135,32.24,10:56:00,10.93 ,34.44,,,1.4,2.3,全閉,全閉,39.0,39.5,6.2,15:23:00,15.38 ,41.40,0.9,1.8,2.5,全開,6.2,1,0.9,1.8,2.5,全開,6.2,1,0.9,1.8,,,,,,
B,2022/3/18,兵庫県,新米,山田錦,50,6,130,32.58,11:19:00,11.32 ,35.34,,,1.5,2.4,全閉,全閉,39.0,39.5,6.2,15:13:00,15.22 ,41.32,0.9,1.8,2.5,全開,6.2,1,0.9,1.8,2.5,全開,6.2,1,0.9,1.8,,,,,,
B,2022/3/20,広島県,新米,山田錦,60,6,125,31.64,10:26:00,10.43 ,33.26,,,1.3,2.1,全閉,全閉,39.0,39.5,6.0,15:22:00,15.37 ,40.98,0.7,1.5,2.5,全開,6.0,1,0.7,1.5,2.5,全開,6.0,1,0.7,1.5,,,,,,
A,2022/3/21,広島県,新米,八反錦,45,6,130,31.60,10:56:00,10.93 ,32.96,,,1.4,2.2,全閉,全閉,,,,15:57:00,15.95 ,40.80,0.6,1.3,2.5,全開,6.2,2,0.8,1.65,2.5,全開,6.2,2,0.4,1.1,,,,,,
B,2022/3/22,兵庫県,新米,山田錦,50,3,60,31.62,,,,,,1.3,2.1,全閉,全閉,39.0,39.5,5.0,15:34:00,15.57 ,41.38,1.3,2.1,全閉,全閉,4.5,1,1.3,2.1,全閉,全閉,4.5,1,1.3,2.1,,,,,,
A,2022/3/23,広島県,新米,八反錦,45,6,130,32.60,11:09:00,11.15 ,34.72,,,1.4,2.2,全閉,全閉,39.0,39.5,6.2,14:59:00,14.98 ,41.02,0.5,1.2,2.5,全開,6.2,1,0.5,1.2,2.5,全開,6.2,2,0.4,1.05,,,,,,
A,2022/3/25,兵庫県,新米,山田錦,55,6,135,33.32,10:30:00,10.50 ,35.50,,,1.5,2.4,全閉,全閉,38.5,39.0,6.2,14:21:00,14.35 ,41.46,1.0,1.9,2.5,全開,6.2,2,0.9,1.8,2.5,全開,6.2,2,1.0,2.0,,,,,,
A,2022/3/27,兵庫県,新米,山田錦,55,6,130,32.52,10:37:00,10.62 ,34.96,,,1.5,2.4,全閉,全閉,38.0,39.0,6.2,14:29:00,14.48 ,41.18,0.9,1.8,2.5,全開,6.2,1,0.9,1.8,2.5,全開,6.2,1,0.9,1.8,,,,,,
B,2022/3/28,兵庫県,新米,山田錦,55,6,140,32.00,,,,,,1.5,2.4,全閉,全閉,39.0,39.5,6.2,15:13:00,15.22 ,41.38,1.0,2.0,2.5,全開,6.2,2,0.9,1.8,2.5,全開,6.2,2,0.9,1.8,,,,,,
A,2022/3/29,兵庫県,新米,山田錦,55,6,130,32.30,11:19:00,11.32 ,35.04,,,1.5,2.4,全閉,全閉,39.0,39.5,6.2,15:14:00,15.23 ,41.74,0.9,1.8,2.5,全開,6.2,1,0.9,1.8,2.5,全開,6.2,1,0.9,1.8,,,,,,
B,2022/3/30,広島県,新米,山田錦,60,6,125,32.18,,,,,,1.4,2.3,全閉,全閉,39.0,39.5,6.0,15:35:00,15.58 ,41.22,0.7,1.5,2.5,全開,6.0,1,0.7,1.5,2.5,全開,6.0,2,0.6,1.3,,,,,,
A,2022/3/31,兵庫県,新米,山田錦,55,6,120,32.58,10:57:00,10.95 ,35.24,,,1.4,2.3,全閉,全閉,39.0,39.5,6.0,15:07:00,15.12 ,41.50,0.8,1.7,2.5,全開,6.0,1,0.8,1.7,2.5,全開,6.0,2,0.9,1.85,,,,,,
B,2022/4/1,兵庫県,新米,山田錦,55,6,110,32.94,10:51:00,10.85 ,35.36,,,1.3,2.1,全閉,全閉,39.0,39.5,6.0,15:04:00,15.07 ,41.88,0.8,1.7,2.5,全開,6.0,1,0.8,1.7,2.5,全開,6.0,1,0.8,1.7,,,,,,
A,2022/4/2,兵庫県,新米,山田錦,55,6,140,32.54,10:25:00,10.42 ,34.82,,,,,,,,,,15:48:00,15.80 ,40.92,1.0,1.9,2.5,全開,6.2,1,1.0,1.9,2.5,全開,6.2,1,1.0,1.9,,,,,,
A,2022/4/4,兵庫県,新米,山田錦,60,6,105,32.86,11:24:00,11.40 ,36.54,,,1.3,2.1,全閉,全閉,39.0,39.5,6.0,13:59:00,13.98 ,40.92,0.8,1.7,2.5,全開,6.0,2,0.7,1.6,2.5,全開,6.0,2,0.8,1.7,,,,,,
B,2022/4/5,兵庫県,新米,山田錦,60,6,135,33.76,10:30:00,10.50 ,,,,,,,,,,,13:54:00,13.90 ,40.04,0.9,1.8,2.5,全開,6.2,1,0.9,1.8,2.5,全開,6.2,2,1.1,2.0,,,,,,
A,2022/4/6,岡山県,新米,山田錦,60,6,125,33.02,10:28:00,10.47 ,34.60,,,1.4,2.3,全閉,全閉,39.0,39.5,6.0,14:30:00,14.50 ,41.06,0.8,1.7,2.5,全開,6.0,2,0.9,1.8,2.5,全開,6.0,1,0.9,1.8,,,,,,
B,2022/4/7,兵庫県,新米,山田錦,60,6,112,,,,,,,1.4,2.2,全閉,全閉,39.0,39.5,6.0,13:52:00,13.87 ,41.20,0.8,1.8,2.5,全開,6.0,2,0.9,1.8,2.5,全開,6.0,2,1.05,2.0,,,,,,
A,2022/4/8,広島県,新米,八反錦,60,6,120,32.44,10:36:00,10.60 ,33.90,,,1.3,2.2,全閉,全閉,39.0,39.5,6.0,15:32:00,15.53 ,41.38,0.6,1.4,2.5,全開,6.0,2,0.8,1.6,2.5,全開,6.0,2,0.6,1.2,,,,,,
B,2022/4/9,兵庫県,新米,山田錦,60,6,100,32.14,10:27:00,10.45 ,34.14,,,1.2,2.1,,,,,5.8,14:53:00,14.88 ,41.26,0.7,1.6,2.5,全開,5.8,1,0.7,1.6,2.5,全開,5.8,2,1.0,2.0,,,,,,
A,2022/4/10,広島県,新米,八反錦,60,6,140,32.00,11:35:00,11.58 ,34.44,,,1.4,2.3,全閉,全閉,39.0,39.5,6.2,15:44:00,15.73 ,40.90,0.7,1.5,2.5,全開,6.2,1,0.7,1.5,2.5,全開,6.2,2,0.5,1.2,,,,,,
B,2022/4/11,広島県,新米,八反錦,60,6,120,32.84,11:23:00,11.38 ,35.34,,,1.4,2.2,全閉,全閉,39.0,39.5,6.0,15:09:00,15.15 ,41.16,0.5,1.3,2.5,全開,6.0,2,0.4,1.1,2.5,全開,6.0,2,0.4,1.0,,,,,,
A,2022/4/12,広島県,新米,八反錦,60,6,140,33.52,10:50:00,10.83 ,35.52,,,1.4,2.2,全閉,全閉,39.0,39.5,6.2,15:07:00,15.12 ,41.82,0.5,1.2,2.5,全開,6.2,2,0.5,1.1,2.5,全開,6.2,1,0.5,1.1,,,,,,
B,2022/4/13,広島県,新米,八反錦,60,6,150,33.74,10:29:00,10.48 ,35.32,,,1.6,2.4,全閉,全閉,38.0,38.5,6.4,14:57:00,14.95 ,41.62,0.6,1.3,2.5,全開,6.4,2,0.6,1.2,2.5,全開,6.4,2,0.6,1.3,,,,,,
A,2022/4/14,広島県,新米,八反錦,60,6,120,32.36,11:17:00,11.28 ,34.90,,,1.3,2.1,,,,,,15:22:00,15.37 ,41.04,0.4,1.1,2.5,全開,6.0,2,0.4,1.2,2.5,全開,6.0,2,0.4,1.1,,,,,,
